0:[ 0.40510515]
1:[ 0.58472221]
2:[ 0.40780795]
3:[ 0.4296509]
4:[ 0.52623472]
5:[ 0.43997139]
6:[ 0.19679534]
7:[ 0.39913784]
8:[ 0.46361884]
9:[ 0.31644203]
10:[ 0.39871161]
11:[ 0.2669798]
12:[ 0.49054919]
13:[ 0.40512407]
14:[ 0.48044394]
15:[ 0.45041744]
16:[ 0.3324473]
17:[ 0.57203372]
18:[ 0.50479818]
19:[ 0.29511819]
20:[ 0.49005169]
21:[ 0.45605144]
22:[ 0.49386546]
23:[ 0.41898484]
24:[ 0.51087798]
25:[ 0.59386084]
26:[ 0.47805378]
27:[ 0.3951732]
28:[ 0.2136832]
29:[ 0.5015725]
30:[ 0.60411901]
31:[ 0.39967917]
32:[ 0.4502949]
33:[ 0.4344465]
34:[ 0.44659807]
35:[ 0.4919578]
36:[ 0.44312459]
37:[ 0.54494477]
38:[ 0.48310787]
39:[ 0.5186609]
40:[ 0.50894331]
41:[ 0.35533656]
42:[ 0.39517768]
43:[ 0.41128775]
44:[ 0.43936728]
45:[ 0.32251369]
46:[ 0.4722018]
47:[ 0.48847686]
48:[ 0.53440019]
49:[ 0.48876711]
